11	11	10	10	11	9	9	10	9	9	13	11	9	6	8	10	8	6	2	1	5	8	5	4	6
11	11	11	10	11	9	10	10	10	10	10	8	9	10	11	9	8	9	9	7	7	4	8	8	8
11	11	11	11	11	11	12	11	13	11	9	8	9	12	10	10	9	8	5	6	5	0	5	17	11
12	11	11	11	11	11	12	9	10	10	9	8	6	7	9	11	9	7	1	1	5	6	9	15	9
12	12	11	11	11	11	12	12	13	11	10	9	7	8	9	9	9	8	5	7	11	11	10	8	8
13	13	12	12	11	16	21	16	12	9	9	9	8	8	10	10	9	7	10	9	10	10	10	9	9
13	13	13	12	12	19	18	14	9	9	9	9	9	10	11	10	9	6	10	9	10	11	12	15	10
14	13	13	13	13	13	11	11	9	11	13	14	12	13	13	10	11	9	11	8	7	6	11	13	9
15	14	14	14	13	11	10	11	12	11	17	17	16	13	12	11	9	9	11	9	11	8	10	9	6
16	16	15	15	14	11	12	11	11	11	10	11	13	11	11	11	10	12	11	9	11	10	10	9	10
17	17	16	16	15	13	17	13	13	14	11	13	11	11	11	11	13	11	11	11	11	12	12	11	9
17	17	17	17	16	17	22	18	17	17	15	17	17	13	13	13	13	11	11	12	10	10	10	10	9
17	17	17	17	16	19	18	21	15	13	15	16	17	15	13	12	11	13	14	10	9	9	11	10	9
17	18	18	17	17	17	17	18	13	13	13	12	15	13	11	11	12	11	9	10	10	11	8	9	8
18	18	18	17	17	13	15	15	14	15	16	13	12	11	12	11	10	10	9	9	8	9	11	13	11
18	18	18	17	17	12	13	14	16	15	13	13	11	9	11	14	10	9	8	8	10	11	12	17	13
18	18	18	17	17	13	14	13	13	12	13	13	11	13	14	13	9	9	9	11	13	13	11	11	10
19	19	18	18	17	15	13	13	13	11	11	12	13	13	11	10	13	15	14	13	13	11	9	10	9
20	19	19	18	17	13	12	12	12	12	12	12	12	12	12	13	13	13	11	10	10	11	11	11	13
21	20	19	18	18	13	13	13	13	13	12	13	13	14	15	15	14	11	9	10	13	15	13	15	14
21	20	19	19	18	16	18	24	17	14	15	16	15	15	14	14	13	11	11	12	14	13	13	13	12
21	20	19	19	18	17	19	26	21	19	19	16	14	13	14	14	13	13	14	13	13	13	14	13	14
20	20	19	19	18	20	17	23	18	18	18	16	13	13	13	14	13	14	14	13	13	14	18	15	13
20	20	19	19	18	20	21	19	19	17	18	16	17	14	14	15	16	16	15	13	13	14	14	15	14
20	20	19	19	18	18	20	20	23	18	17	15	15	15	16	14	15	15	16	15	13	17	13	13	14
